Country,BirthRate,BusinessTaxRate,CO2Emissions,GDP,HealthExpCapita,InfantMortalityRate,InternetUsage,LendingInterest,LifeExpectancyFemale,MobilePhoneUsage,PopulationTotal,Cluster
Algeria,0.02,49.0516561,87931,54790058957,60,0.034,0,0.1,71,0,31719449,1
Angola,0.05,49.0516561,9542,9129594819,22,0.02,0,0.119,47,0,13924930,0
Benin,0.043,49.0516561,1617,2359122303,15,0.09,0,0.119,57,0,6949366,0
Botswana,0.027,49.0516561,4276,5788311645,152,0.054,0,0.155,52,0.1,1755375,0
Burkina Faso,0.046,49.0516561,1041,2610959139,12,0.096,0,0.119,52,0,11607944,0
Burundi,0.042,49.0516561,301,870486066,7,0.092,0,0.158,49,0,6674286,0
Cameroon,0.041,49.0516561,3432,9287367569,26,0.093,0,0.22,53,0,15927713,0
Central African Republic,0.039,49.0516561,268,914500332,11,0.02,0,0.22,45,0,3638316,0
Chad,0.051,49.0516561,176,1385058212,10,0.106,0,0.22,48,0,8301151,0
Comoros,0.039,49.0516561,84,201899884,13,0.073,0,0.12,59,0.5,528312,0
"Congo, Dem. Rep.",0.048,49.0516561,1646,19088046305,14,0.02,0,0.119,48,0,46949244,0
"Congo, Rep.",0.039,49.0516561,1049,3219910666,22,0.077,0,0.22,53,0,3126204,0
Cote d'Ivoire,0.038,49.0516561,6791,10417060605,42,0.1,0,0.119,47,0,16131332,0
Djibouti,0.03,49.0516561,403,551230862,44,0.08,0,0.119,59,0,722887,0
"Egypt, Arab Rep.",0.025,49.0516561,8529,99838540997,79,0.036,0,0.132,71,0,5971526,1
Equatorial Guinea,0.04,49.0516561,455,1045998534,57,0.099,0,0.22,49,0,518179,0
Eritrea,0.04,49.0516561,609,706370812,7,0.058,0,0.119,58,0.5,3939348,0
Ethiopia,0.044,49.0516561,5831,8091384891,5,0.09,0,0.109,53,0,5971526,0
Gabon,0.034,49.0516561,1052,5067865503,118,0.056,0,0.22,61,0.1,1225527,0
"Gambia, The",0.045,49.0516561,275,782913866,29,0.063,0,0.119,56,0,1228863,0
Ghana,0.035,49.0516561,6289,4982849054,13,0.065,0,0.119,58,0,18825034,0
Guinea,0.042,49.0516561,1280,2995360969,19,0.103,0,0.194,51,0,8746128,0
Guinea-Bissau,0.042,49.0516561,147,361858968,16,0.109,0,0.119,53,0.5,1273312,0
Kenya,0.039,49.0516561,10418,12705350153,19,0.069,0,0.223,54,0,31285050,0
Lesotho,0.031,49.0516561,8529,771200632,29,0.081,0,0.171,48,0,1856225,0
Liberia,0.043,49.0516561,436,529064647,11,0.02,0,0.205,53,0,2891968,0
Libya,0.022,49.0516561,47114,33896600871,252,0.024,0,0.07,74,0,5176185,2
Madagascar,0.041,49.0516561,1874,3877673635,12,0.071,0,0.119,60,0,15744811,0
Malawi,0.045,49.0516561,906,1743506287,9,0.103,0,0.119,46,0,11321496,0
Mali,0.048,49.0516561,543,2422482318,16,0.02,0,0.119,49,0,10260577,0
Mauritania,0.038,49.0516561,1236,1293653473,24,0.076,0,0.119,61,0,2708095,0
Mauritius,0.017,49.0516561,2769,4582562398,146,0.016,0.1,0.208,75,0.2,1186873,2
Morocco,0.022,49.0516561,33905,37020609825,54,0.043,0,0.133,70,0.1,28710123,0
Mozambique,0.044,49.0516561,1349,4310090791,15,0.02,0,0.19,49,0,18275618,0
Namibia,0.032,49.0516561,1643,3908645566,126,0.049,0,0.153,57,0,1897953,0
Niger,0.053,49.0516561,796,1798374533,10,0.101,0,0.119,51,0,10989815,0
Nigeria,0.043,49.0516561,79182,46385996027,17,0.02,0,0.213,47,0,5971526,0
Rwanda,0.041,49.0516561,686,1734938190,9,0.108,0,0.17,49,0,8395577,0
Sao Tome and Principe,0.036,49.0516561,48,76709305,46,0.058,0,0.119,65,0.5,139428,0
Senegal,0.04,49.0516561,3938,4679604922,22,0.069,0,0.119,59,0,9861679,0
Seychelles,0.019,49.0516561,565,614877971,371,0.012,0.1,0.107,75,0.3,81131,2
Sierra Leone,0.044,49.0516561,425,635874002,28,0.02,0,0.119,39,0,4139757,0
Somalia,0.049,49.0516561,517,15493320082,193,0.105,0,0.119,52,0,7385416,0
South Africa,0.024,49.0516561,8529,1.32878E+11,246,0.052,0.1,0.145,58,0.2,44000000,1
South Sudan,0.043,49.0516561,8529,15493320082,193,0.11,0.1,0.119,50,0.5,6652984,0
Sudan,0.04,49.0516561,5534,12257299163,15,0.069,0,0.119,60,0,27729798,0
